Part No,Part Name,Descriptions
204244	,"
Synthetic Gear Oil 75W-140 Part # 204244	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><p>Recommended for applications requiring GL-5 Gear Oil.</p><p>Superior anti-wear and extreme pressure protection.</p><p>Suitable for limited slip applications without and additional additive.</p><p> </p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124405/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124405im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
204290	,"
Synthetic Gear Oil 75W-90 Part # 204290	","[<div class=""woocommerce-product-details__short-description""><p> </p><h2>Features and Benefits</h2><ul>
<li>Recommended for applications requiring-5 gear oils</li>
<li>Superior anti-wear and extreme pressure protection</li>
<li>Suitable for limited slip performance without an additional additive</li></ul><p> </p><h2>Product Description</h2><p>TerraClean® Gear Oils are formulated to provide superior performance in Differentials and Manual Transmissions requiring GL5 Oils. They are made using a PAO Synthetic base stock oil with a superior additive package. This provides excellent anti-wear protection, ensures oxidation stability and delivers extreme-pressure performance. It has a high viscosity index and a low pour point, so it works well in both extremely high and low-temperature applications. TerraClean® Gear Oils are formulated for Limited Slip applications, so there is no need to add any additives for this type of differential.</p><p>Available in 32oz (Part Number 204290) and 64oz (Part Number 204294) bottles.</p><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124405/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124405im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
204294	,"
Synthetic Gear Oil 75W-90 Part # 204294	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><p>Recommended for applications requiring GL-5 gear Oil.</p><p>Superior anti-wear and extreme pressure protection.</p><p>Suitable for limited slip applications without and additional additive.</p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124405/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124405im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
204280	,"
Synthetic Transfer Case / Manual Transmission Fluid Part # 204280	","[<div class=""woocommerce-product-details__short-description""><h2>Product Description</h2><p>TerraClean Synthetic Transfer Case / Manual Transmission Fluid is specifically designed for use in 4-wheel-drive vehicles requiring the use of ATF, gear oil and a variety of  OEM specific fluids.</p><h2>Features and Benefits</h2><ul>
<li>Fully Synthetic formula For Manual Transmissions and Transfer Cases Requiring ATF or GL-1 – GL-4 Gear Oils</li>
<li>Provides Superior Anti-Wear and Extreme Pressure Protection</li></ul><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.dropbox.com/s/libjjoeagkslx11/ZMT16-02113%20-%20TC%20Functional%20Fluid%20Guide%20_lowres.pdf?dl=0"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; TerraClean Functional Fluid Guide</a><br/>
<a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
206200	,"
2 Part Engine Service Kit Part # 206200	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Combines TerraClean Engine Treatment and TerraClean Engine Oil Cleaner</li>
<li>Reduces friction and engine wear while preventing zinc and phosphorus damage to catalytic converters</li>
<li>Reduces or eliminates white sludge caused by ethanol blended fuels</li>
<li>Formulated to work with all motor oils including API GF-5</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>The 2 Part Engine Clean is ideal package for premium oil changes. Before changing the oil, TerraClean Engine Oil Cleaner is added to the old oil. It infuses the engine oil with a detergent that cleans the entire oil system without damaging it. This cleaner is circulated throughout the system by running the engine for 10 minutes. The cleaner removes and holds these contaminants in suspension. When the oil is drained, all the dirt, sludge and combustion by-products safely flow out with the old oil and cleaner.</p><p>TerraClean Engine Treatment is then added to the new oil. This is an effective treatment for today’s engines. It contains a highly modified form of ZDP (Zinc Dithiophosphate) that will not separate in the presence of ethanol. This provides all the protective and friction reduction / anti-wear characteristics engines need but without causing damage to expensive components such as catalytic converters.</p><p>TerraClean Engine Treatment will work with all motor oils including the latest API GF-5 standard.</p><p> </p></div><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124354/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124354im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
206201	,"
2 Part Oil and Fuel Kit Part # 206201	","[<div class=""woocommerce-product-details__short-description""><p> </p><div class=""prodRight2InfoBox""><h2>Features and Benefits</h2><ul>
<li>Combines TerraClean Engine Treatment with Optima Fuel System Cleaner</li>
<li>Performs a rapid clean up of the entire fuel system</li>
<li>Removes gum, varnish and carbon deposits while inhibiting reformation</li>
<li>Reduces friction and engine wear while increasing power and fuel economy</li>
<li>Protects the engine without the potential damage to the catalytic converter that can come from Zinc and Phosphorus</li>
<li>Eliminates the formation of white sludge caused by ethanol blended fuels</li>
<li>Formulated to work with all motor oils including API GF-5 Ideal for high mileage engines</li></ul></div><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>Optima Fuel System Cleaner, when added to gasoline rapidly, cleans clogged injectors and restores proper spray patterns.  It will remove water from the fuel system and helps prevent rust and corrosion.</p><p>Most gasoline products contain ethanol.  Ethanol can enter the crankcase as a blow-by gas.  When this happens, the ethanol can mix with water from condensation and form a white sludge.  TerraClean Engine treatment prevents the formation of this sludge and protects the engine from friction and wear.</p></div></div>]"
206221	,"
2 Part Oil Change Kit Part # 206221	","[<div class=""woocommerce-product-details__short-description""><h1>2 Part Oil Change Kit</h1><p>A great item for premium oil change</p></div>]"
206210	,"
Engine Oil Cleaner Part # 206210	","[<h2>Features and Benefits</h2><ul>
<li>Cleans internal engine components</li>
<li>Liquifies sludge and combustion by products</li>
<li>Improves engine performance and lowers harmful emissions</li>
<li>Safe for use with gasoline and diesel engines</li></ul></div><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>As engine oil deteriorates, sludge and other contaminants can accumulate within the oil system.  These contaminants can accumulate and damage engine components.  During a conventional oil change some of these contaminants remain trapped and the new oil becomes contaminated. Adding TerraClean Engine Oil Cleaner to oil prior to the change liquifies and removes this sludge keeping the oil cleaner, longer.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
206220	,"
Engine Treatment Part # 206220	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Reduces friction and engine wear while increasing power and fuel economy</li>
<li>It protects the engine from wear without the potential damage to the catalytic converter that can come from Zinc and Phosphorus</li>
<li>It eliminates the formation of white sludge caused by ethanol blended fuels</li>
<li>Formulated to work with all motor oils including API GF-5</li></ul></div><p> </p><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>Ethanol blended fuels continue to become more common.  Ethanol can enter the crankcase as a blow by gas.  When this happens, the ethanol can mix with water from condensation and form a white sludge.  TerraClean Engine treatment protects the engine from friction and engine wear and protects against the formation of this sludge.</p><p>Some engine treatments contain zinc and phosphorous to help reduce friction.  Unfortunately, this zinc and phosphorus can drop out of the oil and destroy the catalytic converter.  TerraClean Engine Treatment is designed specifically to retain the zinc and phosphorus so both the engine and the catalytic converter are protected.</p></div><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124405/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124405im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
206230	,"
Extended Interval Engine Oil Cleaner Part # 206230	","[<div class=""woocommerce-product-details__short-description""><h1>Extended Interval Engine Oil Cleaner</h1><p>Formulated for GDi engines</p><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
206228	,"
Oil Treatment Part # 206228	","[<div class=""woocommerce-product-details__short-description""><h1>Oil Treatment</h1><p>Improves all oils</p><p> </p><p><a href=""https://web.archive.org/web/20230313124405/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
201400	,"
Decarb Tune Up Kit  (Small)  Part # 201400	","[<div class=""woocommerce-product-details__short-description""><p>This Decarb kit combines our Fuel Injector Cleaner with our Fuel &amp; Post Combustion Cleaner and is designed for engines under 2.0L. This combination of products delivered through the fuel rail by our patented Decarbonizing Machine effectively cleans carbon and deposits from the entire fuel system from injectors to exhaust.</p><h2><strong>Features and Benefits</strong></h2><ul>
<li>Made from molecularly modified gasoline</li>
<li>Contains no harsh chemicals or solvents</li>
<li>Our patented technology chemically bonds our cleaners to carbon deposits and combusts them with highly effective results</li>
<li>Cleans fuel injectors, intake valves, combustion chamber, O2 sensors and the catalytic converter.</li>
<li>OEM approved</li></ul><p> </p><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124353/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124353im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
201296	,"
Major Fuel Service Kit Part # 201296	","[<h2>Features and Benefits</h2><ul>
<li>Combines Fuel System Purge, Optima and Intake Valve deposit cleaner</li>
<li>Improves fuel economy and restores lost power</li>
<li>Cleans carbon deposits on valves and in combustion chambers</li>
<li>Inhibits fuel and emission systems corrosion</li>
<li>Performs a rapid clean up of the entire fuel system and intake valves</li>
<li>Removes gum, varnish and carbon deposits while inhibiting reformation</li>
<li>Eliminates cold carbon knock</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>The 3 part Major Fuel Kit is designed for service providers that want to perform a complete Air/Fuel system clean up. First, Fuel System Purge is fed through the fuel rail using a pressurized canister fuel tool. It uses proprietary chemistry to clean combustion chamber deposits, revitalize performance and restore fuel economy. It also inhibits fuel system corrosion and eliminates hesitation. It contains a concentrated detergent package that rapidly cleans the fuel system including injectors and intake valves.</p><p>Carbon deposits can form on the back side of intake valves. This is particularly true on newer Direct Injection Engines. Intake Valve Deposit Cleaner effectively cleans intake valves as well as the combustion chamber, piston crowns, piston ring lands and fuel injector tips. It is applied using the <a href=""https://web.archive.org/web/20230313124405/http://terraclean.net/product.php?id=2"" rel=""noopener"" target=""_blank"" title=""Pressurized Induction Tool"">TerraClean Pressurized Induction Tool </a>through the air induction system or through a vacuum line.</p><p>TerraClean Optima Fuel System Cleaner is added directly to fuel to complete the air/fuel service. Optima cleans clogged injectors and restores proper spray patterns. It will remove water from the fuel system and help prevent rust and corrosion.</p></div></div>]"
201290	,"
2 Part Fuel Service Kit  Part # 201290	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Combines Fuel System Purge and Optima Fuel System Cleaner</li>
<li>Restores fuel economy and performance</li>
<li>Cleans carbon from valves and combustion chambers</li>
<li>Inhibits fuel and emission systems corrosion</li>
<li>Rapidly cleans up the entire fuel system</li>
<li>Opens clogged injectors</li>
<li>Removes gum and varnish while inhibiting reformation</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>The 2 part Fuel Kit is ideal for service providers that want to perform a through the rail fuel service, with the added benefit of a pour in fuel system cleaner.</p><p>Fuel System Purge is a complete fuel system cleaning product designed to be fed through the fuel rail using a pressurized canister fuel tool. Its proprietary chemistry cleans combustion chamber deposits, revitalizes performance and restores fuel economy. It also inhibits fuel system corrosion and eliminates hesitation. It contains a concentrated detergent package that rapidly cleans the fuel system including injectors and intake valves.</p><p>Optima Fuel System Cleaner restores proper spray patterns to fuel injectors by removing gums and varnish build up, generally in one application. It will eliminate water from the fuel, preventing potential rust and corrosion. Optima is added directly to fuel as part of a complete fuel service system service.</p></div></div>]"
201410	,"
Fuel Injector Cleaner Part # 201410	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Specially formulated for cleaning fuel injectors and intake valves</li>
<li>Use with the TerraClean Fuel System Decarbonizer for a fast and very effective fuel system service</li>
<li>Available in 425ml or 225ml cans for engines 2.0L engines and smaller</li>
<li>OEM approved</li></ul></div><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>TerraClean Fuel Injector Cleaner uses molecularly modified gasoline to clean injectors and intake valves.  No premixing is required – simply thread the can into the <a href=""https://web.archive.org/web/20230313124405/http://terraclean.net/product.php?id=1"" rel=""noopener"" target=""_blank"" title=""TerraClean Decarbonizer"">TerraClean Fuel System Decarbonizer</a> to load the machine prior to service.</p></div><div class=""prodRight2InfoBox""><p>Also available in a kit including Fuel &amp; Post Combustion Cleaner</p></div></div>]"
201420	,"
Fuel & Post Combustion Cleaner Part # 201420	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Molecularly modified gasoline for cleaning fuel injectors, combustion chambers, O2 sensors and catalytic converters</li>
<li>Used in conjunction with the TerraClean Fuel System Decarbonizer</li>
<li>Available in 425ml cans for engines 2.0L engines and smaller</li>
<li>OEM approved</li></ul></div><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>TerraClean Fuel and Post Combustion Cleaner is a highly effective and efficient cleaning product.  When used with the <a href=""https://web.archive.org/web/20230313124404/http://terraclean.net/product.php?id=1"" rel=""noopener"" target=""_blank"" title=""TerraClean Decarbonizer"">TerraClean Decarbonizing Machine</a>, TerraClean Fuel and Post Combustion Cleaner cleans injectors, combustion chambers, O2 sensors and catalytic converters.</p></div><div class=""prodRight2InfoBox""><p>Also available as a premium tune-up kit with TerraClean Fuel Injector Cleaner.</p></div></div>]"
201275	,"
Fuel System Purge Part # 201275	","[<div class=""woocommerce-product-details__short-description""><p>Designed to be fed through the fuel rail using a pressurized canister fuel tool.</p><p> </p><p><a href=""https://web.archive.org/web/20230313124404/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div>]"
201160	,"
TerraClean Decarbonizing Machine Part # 201160	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Decarbonizes the entire fuel system, including the O2 Sensor and the catalytic converter</li>
<li>Restores fuel efficiency</li>
<li>Maximizes vehicle performance</li>
<li>Reduces harmful emissions</li></ul></div><div class=""prodRight2InfoBox""><h2>Why use theTerraClean Decarbonizer?</h2><p>The TerraClean Fuel System Decarbonizer’s revolutionary technology goes beyond that of “traditional decarbonizers” by removing carbon deposits from the entire fuel system, including catalytic converters and O2 Sensors.  Where other systems use harsh additives, TerraClean decarbonizes the entire fuel system using technologically advanced chemistry that is safe for the technicians, the vehicle components and the environment.  As well, unlike solvent or detergent based cleaners which can increase emissions during and after service, virtually no noxious emissions are emitted during a TerraClean service. Used in conjunction with the <a href=""https://web.archive.org/web/20230313124405/http://terraclean.net/product.php?id=1"" rel=""noopener"" target=""_blank"" title=""TerraClean Decarbonizer"">Premium Tune Up Kit 201200</a>.</p></div></div>]"
201220	,"
Fuel & Post Combustion Cleaner Part # 201220	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Molecularly modified gasoline for cleaning fuel injectors, combustion chambers, O2 sensors and catalytic converters</li>
<li>Used in conjunction with the TerraClean Fuel System Decarbonizer</li>
<li>Available in 225ml cans for engines 2.0L engines and smaller</li>
<li>OEM approved</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>TerraClean Fuel and Post Combustion Cleaner is a highly effective and efficient cleaning product.  When used with the <a href=""https://web.archive.org/web/20230313124404/http://terraclean.net/product.php?id=1"" rel=""noopener"" target=""_blank"" title=""TerraClean Decarbonizer"">TerraClean Decarbonizing Machine</a>, TerraClean Fuel and Post Combustion Cleaner cleans injectors, combustion chambers, O2 sensors and catalytic converters.</p></div><div class=""prodRight2InfoBox""><p>Also available as a premium tune-up kit with TerraClean Fuel Injector Cleaner.</p><p><a href=""https://web.archive.org/web/20230313124404/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p><p> </p></div><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124404/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124404im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
201210	,"
Fuel Injector Cleaner Part # 201210	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Specially formulated for cleaning fuel injectors and intake valves</li>
<li>Use with the TerraClean Fuel System Decarbonizer for a fast and very effective fuel system service</li>
<li>Available in 425ml or 225ml cans for engines 2.0L engines and smaller</li>
<li>OEM approved</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>TerraClean Fuel Injector Cleaner uses molecularly modified gasoline to clean injectors and intake valves.  No premixing is required – simply thread the can into the <a href=""https://web.archive.org/web/20230313124404/http://terraclean.net/product.php?id=1"" rel=""noopener"" target=""_blank"" title=""TerraClean Decarbonizer"">TerraClean Fuel System Decarbonizer</a> to load the machine prior to service.</p></div><div class=""prodRight2InfoBox""><p>Also available in a kit including Fuel &amp; Post Combustion Cleaner</p><p> </p><p><a href=""https://web.archive.org/web/20230313124404/https://www.terraclean.net/safety-data-sheets/"" style=""text decoration: none; font-weight: bold; font-size: 18px;"" target=""new_window""> &gt;&gt; SDS File</a></p></div><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124404/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124404im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
201206	,"
3 Part Fuel Purge Kit Part # 201206	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Combines Fuel System Purge, Air Intake Spray and Silver Fuel System Cleaner</li>
<li>Improves fuel economy and restores lost power</li>
<li>Cleans fuel injectors and intake system including the throttle body and the throttle valve</li>
<li>Inhibits fuel and emission systems corrosion</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>The 3 Part Fuel Purge Kit combines Fuel Purge, Air Intake Cleaner and Silver Fuel System Cleaner.  Fuel Purge is applied to the fuel rail using a pressurized cannister style tool.  It rapidly cleans the combustion chamber and injectors to restore engine performance.  Air Intake Cleaner is then used to clean the throttle body, improving engine response.  Silver Fuel System cleaner is added to the tank to continue the cleaning of the fuel system after the service is completed.</p></div></div>]"
201200	,"
Premium Tune Up Kit Part # 201200	","[<div class=""woocommerce-product-details__short-description""><p> </p><div class=""prodRight2InfoBox""><h2>Features and Benefits</h2><ul>
<li>For use with the TerraClean Fuel System Decarbonizer for a fast and effective fuel system service</li>
<li>Specially formulated for cleaning fuel injectors, intake valves, combustion chambers, O2 sensors and catalytic converters</li>
<li>Based on molecularly modified gasoline so no harsh chemicals are used to clean the fuel system</li>
<li>OEM approved</li></ul><p> </p></div><div class=""prodRight2InfoBox""><h2>Product Description</h2><p>TerraClean Premium Tune-Up Kits are formulated to provide a highly effective and efficient fuel system service. When used with the TerraClean Decarbonizing Machine, TerraClean Fuel System Cleaner cleans injectors, intake valves, and the combustion chambers. TerraClean Fuel and Post Combustion Cleaner continue the cleaning process, chemically binding to and combusting carbon deposits, revitalizing the fuel system while also cleaning O2 sensors and the catalytic converter. No premixing is required – simply thread the can onto the TerraClean Fuel System Decarbonizer.</p></div><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124404/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124404im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
201202	,"
Minor Decarb Kit  Part # 201202	","[<div class=""woocommerce-product-details__short-description""><h2>Features and Benefits</h2><div class=""prodRight2InfoBox""><ul>
<li>Combines TerraClean Fuel Injector Cleaner, Fuel &amp; Post Combustion Chamber Cleaner and Concentrated Fuel Treatment</li>
<li>Cleans fuel injectors, intake valves, combustion chambers, O2 sensors and catalytic converters using TerraClean’s proprietary decarbonization process</li>
<li>Eliminates ethanol and water related issues</li>
<li>Increases fuel atomization for better fuel economy</li>
<li>Used in conjunction with the TerraClean Fuel System Decarbonizer</li></ul></div><div class=""prodRight2InfoBox""><h2></h2><h2>Product Description</h2><p>This is a perfect kit for service providers that want to offer a decarbonizing service while eliminating the harmful effects of ethanol. The Minor Decarb Kits eliminates carbon and varnish deposits throughout the fuel system. It also cleans the combustion chamber, the O2 sensor and the catalytic converter. Applied through the fuel rail using a TerraClean Decarbonizer, TerraClean Fuel Injector Cleaner first cleans the intake valves, injectors and combustion chambers of a vehicle. Then TerraClean Fuel and Post Combustion Cleaner cleans and decarbonizes the fuel system, combustion chambers, O2 sensors and catalytic converters. Concentrated Fuel Treatment is then added to the fuel tank. This chemically changes water that may be present in the gas tank, creating a combustible hydrocarbon. As well, it increases fuel atomization to improve fuel economy and performance.</p></div><div><img alt=""Under LPP"" class=""alignleft"" data-opt-src=""https://web.archive.org/web/20230313124404/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png"" decoding=""async"" loading=""lazy"" src=""data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%2050%2049%22%20width%3D%2250%22%20height%3D%2249%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E""/><noscript><img alt=""Under LPP"" class=""alignleft"" decoding=""async"" src=""https://web.archive.org/web/20230313124404im_/https://mljzxxsq4e9b.i.optimole.com/w:auto/h:auto/q:mauto/https://www.terraclean.net/wp-content/uploads/2018/05/icon.png""/></noscript></div></div>]"
